Gene,RSP_Area,RMSD,Deviation_Score
Mrpl12,1.939113662052668,0.7856456256260951,2.164755083499856
Mrpl18,1.7945549449477602,0.7557940065102926,2.2333981240842036
Mrpl20,1.891754512706938,0.7759923734337972,2.1869210972256568
Mrpl30,1.9375219080879273,0.7853231042329449,2.171300850008046
Mrpl33,1.9100503500275507,0.7797357946911114,2.180636606382263
Mrpl34,1.948713253303287,0.7875878959607071,2.160254520732602
Mrpl36,1.9557368399604236,0.7890059384651352,2.154293284972425
Mrpl42,1.7341636280828059,0.7429679852316029,2.269155671451631
Mrpl51,1.9395157748809888,0.7857270808328004,2.1625092253611267
Mrpl52,1.9223982305767846,0.7822521089615655,2.171165820806434
Mrps14,1.817620033147438,0.7606355407661008,2.2242419625283283
Mrps24,1.9156230303731578,0.7808724279734354,2.179975001956453
Mt1,1.887710729198497,0.7751625554418209,2.217410965609137
Mtdh,1.8644726125094166,0.7703765735539129,2.201159924354248
Myl12a,1.2697328151073113,0.6357424854928545,2.6272533125977438
Myl2,1.9127465379938815,0.7802859301610354,2.1863178965937915
Myl6,1.1582626627137436,0.607195566798166,2.724834311864275
Myl7,1.9030347059169652,0.7783024865977448,2.1580067282786612
Myl9,1.8623546810397267,0.7699388979364565,2.1819059559824514
Naa38,1.9464600636705198,0.7871324420504197,2.162200084718019
Naca,0.8643950162454304,0.5245431147569461,3.0194787449606317
Nap1l1,1.8795149581952897,0.7734779844467938,2.19575784168763
Nasp,1.9227444497220234,0.7823225466209781,2.164465552498674
Ncl,1.5220755090213811,0.6960543671580052,2.349730854570625
Ndufa1,1.8213862263878409,0.7614231690842075,2.227962666219951
Ndufa10,1.9533656076356993,0.7885274784316971,2.1554821361378447
Ndufa11,1.6973927256359598,0.735048899942294,2.2963030500974715
Ndufa12,1.6003982937819305,0.7137384666265782,2.350071380376232
